name	type	dense only operation	logical operation	pybids implemented	bids-matlab implemented
Add	compute	FALSE	FALSE	FALSE	TRUE
And	compute	FALSE	TRUE	TRUE	TRUE
Assign	munge	FALSE	FALSE	TRUE	TRUE
Censor	?	FALSE	FALSE	FALSE	FALSE
Concatenate	munge	FALSE	FALSE	FALSE	TRUE
Constant	compute	FALSE	FALSE	FALSE	TRUE
Convolve	compute	TRUE	FALSE	TRUE	FALSE
Copy	munge	FALSE	FALSE	TRUE	TRUE
Deconvolve	compute	TRUE	FALSE	FALSE	FALSE
Delete	munge	FALSE	FALSE	TRUE	TRUE
Demean	compute	FALSE	FALSE	TRUE	FALSE
Derivative	compute	FALSE	FALSE	FALSE	FALSE
Divide	compute	FALSE	FALSE	FALSE	TRUE
DropNA	munge	FALSE	FALSE	TRUE	TRUE
Factor	munge	FALSE	FALSE	TRUE	TRUE
Filter	munge	FALSE	FALSE	TRUE	TRUE
Formula	?	FALSE	FALSE	FALSE	FALSE
Group	munge	FALSE	FALSE	TRUE	FALSE
Image	?	FALSE	FALSE	FALSE	FALSE
Label_identical_rows	munge	FALSE	FALSE	FALSE	TRUE
Lag	compute	TRUE	FALSE	TRUE	FALSE
Mean	compute	FALSE	FALSE	FALSE	TRUE
Merge_identical_rows	munge	FALSE	FALSE	FALSE	TRUE
Multiply	compute	FALSE	FALSE	FALSE	TRUE
Not	compute	FALSE	TRUE	TRUE	TRUE
Or	compute	FALSE	TRUE	TRUE	TRUE
Orthogonalize	compute	FALSE	FALSE	TRUE	FALSE
PCA	compute	TRUE	FALSE	FALSE	FALSE
Power	compute	FALSE	FALSE	FALSE	TRUE
Product	compute	FALSE	FALSE	TRUE	TRUE
Rename	munge	FALSE	FALSE	TRUE	TRUE
Replace	munge	FALSE	FALSE	TRUE	TRUE
Resample	munge	TRUE	FALSE	TRUE	FALSE
Scale	compute	FALSE	FALSE	TRUE	TRUE
Select	munge	FALSE	FALSE	TRUE	TRUE
Split	munge	FALSE	FALSE	TRUE	TRUE
StdDev	compute	FALSE	FALSE	FALSE	TRUE
Subtract	compute	FALSE	FALSE	FALSE	TRUE
Sum	compute	FALSE	FALSE	TRUE	TRUE
Threshold	compute	FALSE	FALSE	TRUE	TRUE
ToDense	munge	FALSE	FALSE	TRUE	FALSE
Variance	compute	FALSE	FALSE	FALSE	FALSE
Censor	munge	FALSE	FALSE	FALSE	FALSE
Image	munge	FALSE	FALSE	FALSE	FALSE
